City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
118,constitucion,90,MX,1554508215,12,23.99,75.2,16.11,-104.67
119,pahrump,1,US,1554508052,29,36.21,75.99,19.46,-115.98
120,arraial do cabo,20,BR,1554505200,88,-22.97,80.6,12.75,-42.02
121,lardos,20,GR,1554508263,77,36.09,62.01,16.02,28.02
122,deputatskiy,76,RU,1554508355,86,69.3,15.15,3.94,139.9
123,hammerfest,0,NO,1554506400,58,70.66,24.8,11.41,23.68
124,mayo,20,CA,1554505200,43,63.59,32.0,11.41,-135.9
125,leningradskiy,32,RU,1554507862,89,69.38,7.95,27.54,178.42
126,hami,0,CN,1554507786,59,42.84,42.96,5.39,93.51
127,broken hill,0,AU,1554505200,63,-31.97,66.2,18.34,141.45
128,karasjok,0,NO,1554506400,79,69.47,32.0,35.57,25.52
129,talnakh,88,RU,1554508360,92,69.49,24.96,16.8,88.39
130,lompoc,40,US,1554508106,63,34.64,64.99,10.29,-120.46
131,lasa,0,CY,1554507921,87,34.92,57.2,6.93,32.53
132,provideniya,0,RU,1554508366,100,64.42,25.68,2.15,-173.23
133,islamkot,0,PK,1554508368,73,24.7,74.01,8.08,70.18
134,labuhan,12,ID,1554508369,86,-2.54,77.61,2.71,115.51
135,severo-kurilsk,88,RU,1554507876,97,50.68,33.33,9.19,156.12
136,codrington,40,AU,1554508251,78,-28.95,75.0,5.82,153.24
137,pacific grove,20,US,1554507719,72,36.62,64.99,4.7,-121.92
138,papara,0,BR,1554507491,83,-3.98,80.6,3.36,-38.73
139,lieksa,0,FI,1554508377,93,63.32,27.12,2.93,30.02
140,rikitea,24,PF,1554508379,100,-23.12,77.43,14.67,-134.97
141,taywarah,0,AF,1554508380,81,33.35,31.53,4.61,64.42
142,sitarganj,44,IN,1554508382,75,28.92,67.71,3.83,79.7
143,hithadhoo,0,MV,1554507786,100,-0.6,83.73,6.17,73.08
144,menongue,64,AO,1554508386,60,-14.66,72.3,2.82,17.68
145,edenderry,75,IE,1554508162,87,53.34,44.6,10.29,-7.05
146,vung tau,0,VN,1554508388,97,10.35,82.29,13.11,107.08
147,port lincoln,0,AU,1554508016,89,-34.72,64.11,6.62,135.86
148,gunjur,0,GM,1554505200,64,13.18,73.4,11.41,-16.76
149,udachnyy,88,RU,1554507825,79,66.42,22.53,3.38,112.4
150,vatne,12,NO,1554508060,100,62.56,39.2,5.82,6.61
151,clyde river,75,CA,1554505200,84,70.47,-2.21,16.11,-68.59
152,zyryanskoye,0,RU,1554508393,71,56.83,16.59,3.27,86.62
153,koslan,0,RU,1554508393,83,63.46,20.01,2.37,48.9
154,tshikapa,0,CD,1554508394,94,-6.42,75.18,2.15,20.79
155,axim,0,GH,1554508394,97,4.87,84.0,13.44,-2.24
156,aklavik,5,CA,1554505200,52,68.22,19.4,11.41,-135.01
157,tual,56,ID,1554508402,100,-5.67,83.28,2.93,132.75
158,sabha,92,LY,1554508312,84,27.03,65.82,11.99,14.43
159,calama,0,CL,1554507903,38,-22.46,60.8,21.92,-68.93
160,coahuayana,0,MX,1554508021,26,18.62,85.35,3.15,-100.35
161,saint-augustin,92,FR,1554508285,93,44.83,51.01,8.05,-0.61
162,puerto ayora,40,EC,1554507034,74,-0.74,82.4,4.7,-90.35
163,port blair,0,IN,1554508419,100,11.67,83.28,4.72,92.75
164,nouadhibou,8,MR,1554505200,77,20.93,64.4,17.22,-17.03
165,norman wells,5,CA,1554505200,41,65.28,24.8,18.34,-126.83
166,hereford,36,GB,1554508392,77,52.06,48.0,1.99,-2.72
167,rodez,90,FR,1554508001,76,44.35,48.99,18.34,2.57
168,zdvinsk,80,RU,1554508428,87,54.7,29.73,9.42,78.67
169,pingliang,20,CN,1554508429,56,35.54,46.38,3.38,106.68
170,ambanja,12,MG,1554508431,92,-13.68,69.15,3.38,48.45
171,vardo,90,US,1554508418,81,39.62,45.0,6.93,-77.74
172,seoul,1,KR,1554506400,48,37.57,46.4,3.6,126.98
173,kruisfontein,0,ZA,1554508435,87,-34.0,58.8,8.63,24.73
174,forbes,20,AU,1554508112,48,-33.38,77.0,3.0,148.01
175,carnarvon,0,ZA,1554507957,78,-30.97,49.17,10.54,22.13
176,cobija,20,BR,1554505200,79,-11.02,84.2,3.36,-68.77
177,airai,100,TL,1554507944,88,-8.93,72.21,2.37,125.41
178,port macquarie,32,AU,1554508205,88,-31.43,77.0,5.82,152.91
